8837,P4,,Play,
8838,T-Mobile Polska,,,nieużywany
8839,P4,,Play,
8840,P4,,Play,
8841,T-Mobile Polska,,Heyah,
8842,T-Mobile Polska,,Heyah,
8843,P4,,Play,
8844,Aero2,,,nieużywany
88450,9,Next Mobile Sp. z o.o,,,data przydziału 2023-09-12 14:45
88451,VikingCo Poland Sp. z o.o.,,,data przydziału 2023-04-28 14:45
88452,3,Next Mobile Sp. z o.o.,,,data przydziału 2024-02-27 13:45
88455,PRIVEE Sp. z o.o.,,,data przydziału 2023-09-07 14:45
88456,Oskar Rybczyński,,ArkanaVoIP.pl,data przydziału 2023-10-01 14:45
88457,THULIUM Sp. z o.o.,,,data przydziału 2024-03-26 13:45
88458,YATECO OÜ,,,data przydziału 2023-12-13 13:45
8846,P4,,Play,
8847,P4,,Play,
8848,P4,,Play,
8849,P4,,Play,
885,Polkomtel,,Plus,
886,T-Mobile Polska,,Heyah,
887,Polkomtel,,iPlus,
888,T-Mobile Polska,,Heyah,
889,T-Mobile Polska,,Heyah
